SalePrice,PriceRange,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,SubwayStation,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total)
318584,310000-320000,2008,2016,8,914,11,terraced,individual_heating,management_in_trust,197,475,5min~10min,0-5min,6,6,14,Sin-nam,3,1,,,,,,,,,,,
247787,240000-250000,2014,2016,8,644,7,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
168141,168000-185000,1993,2016,8,644,1,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
327433,320000-330000,2007,2016,8,1103,8,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,,,,,,,,,,,
346017,340000-350000,2014,2016,8,910,9,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
371681,370000-380000,2007,2016,8,1394,20,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,,,,,,,,,,,
196902,195000-205000,2005,2016,8,572,4,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
242035,240000-250000,2014,2016,8,640,7,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
269911,260000-270000,2005,2016,8,914,7,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
343362,340000-350000,2014,2016,8,914,13,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
210619,210000-220000,2005,2016,8,572,19,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
262831,260000-270000,2014,2016,8,640,21,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
277876,270000-280000,2005,2016,8,914,16,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
262831,260000-270000,2014,2016,8,644,17,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
241592,240000-250000,2014,2016,8,640,30,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
256637,250000-260000,2014,2016,8,640,7,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
119469,100000-125000,1992,2016,8,640,1,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
343362,340000-350000,2014,2016,8,910,23,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
191150,185000-195000,2015,2016,8,644,13,terraced,individual_heating,management_in_trust,102,400,0~5min,5min~10min,6,5,10,Daegu,3,2,,,,,,,,,,,
330973,330000-340000,2007,2016,8,868,5,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
221238,220000-230000,1978,2016,8,903,11,corridor,individual_heating,self_management,87,0,0~5min,0-5min,2,1,4,Kyungbuk_uni_hospital,3,2,,,,,,,,,,,
446902,440000-450000,2007,2016,8,1387,21,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
265486,260000-270000,2006,2016,8,903,1,terraced,individual_heating,management_in_trust,123,181,5min~10min,0-5min,3,3,11,Myung-duk,3,1,,,,,,,,,,,
427876,420000-430000,2007,2016,8,1387,6,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
265486,260000-270000,1986,2016,8,1131,8,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
218584,210000-220000,1978,2016,8,903,10,corridor,individual_heating,self_management,87,0,0~5min,0-5min,2,1,4,Kyungbuk_uni_hospital,3,2,,,,,,,,,,,
256637,250000-260000,2006,2016,8,857,11,terraced,individual_heating,management_in_trust,123,181,5min~10min,0-5min,3,3,11,Myung-duk,3,1,,,,,,,,,,,
303539,300000-310000,2015,2016,8,832,19,terraced,individual_heating,management_in_trust,102,400,0~5min,5min~10min,6,5,10,Daegu,3,2,,,,,,,,,,,
269911,260000-270000,1986,2016,8,1131,7,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
106194,100000-125000,1997,2016,9,430,5,mixed,individual_heating,management_in_trust,82,56,5min~10min,15min~20min,1,2,4,Chil-sung-market,7,1,,,,,,,,,,,
283185,280000-290000,2009,2016,9,910,10,terraced,individual_heating,management_in_trust,25,203,0~5min,no_bus_stop_nearby,1,2,5,no_subway_nearby,2,1,,,,,,,,,,,
258407,250000-260000,2009,2016,9,910,3,terraced,individual_heating,management_in_trust,25,203,0~5min,no_bus_stop_nearby,1,2,5,no_subway_nearby,2,1,,,,,,,,,,,
358407,350000-360000,2013,2016,9,907,28,terraced,individual_heating,management_in_trust,8,930,0~5min,0-5min,7,6,14,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
358407,350000-360000,2013,2016,9,910,9,terraced,individual_heating,management_in_trust,8,930,0~5min,0-5min,7,6,14,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
366371,360000-370000,2013,2016,9,910,7,terraced,individual_heating,management_in_trust,8,930,0~5min,0-5min,7,6,14,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
243362,240000-250000,2006,2016,9,636,6,terraced,individual_heating,management_in_trust,111,184,5min~10min,10min~15min,3,3,0,Kyungbuk_uni_hospital,2,1,,,,,,,,,,,
59911,40000-60000,2014,2016,9,156,17,corridor,individual_heating,self_management,0,218,10min~15min,5min~10min,1,4,0,no_subway_nearby,4,1,,,,,,,,,,,
55663,40000-60000,2014,2016,9,135,13,corridor,individual_heating,self_management,0,218,10min~15min,5min~10min,1,4,0,no_subway_nearby,4,1,,,,,,,,,,,
464601,460000-470000,2007,2016,9,1690,10,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,,,,,,,,,,,
371681,370000-380000,2007,2016,9,1273,7,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,,,,,,,,,,,
274336,270000-280000,2006,2016,9,818,24,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
292035,290000-300000,2015,2016,9,644,18,terraced,individual_heating,management_in_trust,175,1321,5min~10min,5min~10min,13,8,24,no_subway_nearby,1,1,,,,,,,,,,,
181415,168000-185000,1993,2016,9,644,21,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
243362,240000-250000,2014,2016,9,640,9,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
236283,230000-240000,2005,2016,9,743,3,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
338053,330000-340000,2014,2016,9,914,9,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
345132,340000-350000,2014,2016,9,914,21,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
340707,340000-350000,2014,2016,9,914,11,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
414159,410000-420000,2014,2016,9,1092,21,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
65486,60000-70000,1992,2016,9,355,1,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
342477,340000-350000,2014,2016,9,914,6,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
284955,280000-290000,2014,2016,9,846,2,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
340707,340000-350000,2014,2016,9,914,7,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
352212,350000-360000,1993,2016,9,1761,21,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
179646,168000-185000,1993,2016,9,644,8,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
361061,360000-370000,2014,2016,9,914,18,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
309734,300000-310000,2014,2016,9,910,3,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
119469,100000-125000,1992,2016,9,576,7,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
265486,260000-270000,2014,2016,9,644,9,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
265486,260000-270000,2008,2016,9,829,2,terraced,individual_heating,management_in_trust,197,475,5min~10min,0-5min,6,6,14,Sin-nam,3,1,,,,,,,,,,,
129203,125000-148000,1992,2016,9,640,10,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
125221,125000-148000,1992,2016,9,576,4,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
336283,330000-340000,2014,2016,9,907,29,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
81415,80000-100000,1992,2016,9,355,6,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
380530,380000-390000,2008,2016,9,1167,18,terraced,individual_heating,management_in_trust,197,475,5min~10min,0-5min,6,6,14,Sin-nam,3,1,,,,,,,,,,,
367256,360000-370000,2014,2016,9,914,4,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
321238,320000-330000,2014,2016,9,846,29,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
280530,280000-290000,2005,2016,9,914,23,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
309292,300000-310000,2014,2016,9,914,3,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
259292,250000-260000,2014,2016,9,640,7,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
252654,250000-260000,2006,2016,9,903,3,terraced,individual_heating,management_in_trust,123,181,5min~10min,0-5min,3,3,11,Myung-duk,3,1,,,,,,,,,,,
438053,430000-440000,2007,2016,9,1387,9,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
340707,340000-350000,2007,2016,9,868,13,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
339823,330000-340000,2007,2016,9,868,12,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
353982,350000-360000,1986,2016,9,1377,10,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
331858,330000-340000,2007,2016,9,868,5,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
526548,>=480000,2007,2016,9,1519,25,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
331858,330000-340000,2007,2016,9,868,17,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
469026,460000-470000,2007,2016,9,1643,17,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
469026,460000-470000,2007,2016,9,1643,28,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
274336,270000-280000,1986,2016,9,1131,5,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
307079,300000-310000,1986,2016,9,1377,2,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
361061,360000-370000,2009,2016,10,1160,13,terraced,individual_heating,management_in_trust,25,203,0~5min,no_bus_stop_nearby,1,2,5,no_subway_nearby,2,1,,,,,,,,,,,
353982,350000-360000,2013,2016,10,910,18,terraced,individual_heating,management_in_trust,8,930,0~5min,0-5min,7,6,14,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
171681,168000-185000,2003,2016,10,907,4,mixed,individual_heating,management_in_trust,82,56,5min~10min,15min~20min,1,2,4,Chil-sung-market,7,1,,,,,,,,,,,
318584,310000-320000,2006,2016,10,910,15,terraced,individual_heating,management_in_trust,111,184,5min~10min,10min~15min,3,3,0,Kyungbuk_uni_hospital,2,1,,,,,,,,,,,
296460,290000-300000,2006,2016,10,910,7,terraced,individual_heating,management_in_trust,111,184,5min~10min,10min~15min,3,3,0,Kyungbuk_uni_hospital,2,1,,,,,,,,,,,
131415,125000-148000,1985,2016,10,587,8,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,2,2,Daegu,5,1,,,,,,,,,,,
486725,>=480000,2006,2016,10,2056,11,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
442477,440000-450000,2006,2016,10,1412,18,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
460176,460000-470000,2006,2016,10,2056,9,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
424778,420000-430000,2006,2016,10,1437,21,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
283185,280000-290000,2006,2016,10,818,16,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
169026,168000-185000,1993,2016,10,644,13,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
250442,250000-260000,2014,2016,10,640,29,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
236725,230000-240000,1993,2016,10,914,4,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
451327,450000-460000,2014,2016,10,1252,6,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
349557,340000-350000,2014,2016,10,914,5,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
243362,240000-250000,2005,2016,10,743,10,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
344247,340000-350000,2014,2016,10,914,10,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
334955,330000-340000,2014,2016,10,910,5,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
317699,310000-320000,2014,2016,10,907,6,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
206637,205000-210000,2005,2016,10,572,11,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
378761,370000-380000,2014,2016,10,914,15,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
353982,350000-360000,2014,2016,10,910,15,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
